tipo_gerador,tipo_atividade,bairro,tipo_residuo_principal,residuo_organico_principal,origem_residuo,quantidade_semanal,num_pessoas,destino_atual,custo_destinacao,potencial_reaproveitamento,caracteristica_residuo,tentativa_reutilizacao,interesse_aprender
Instituição pública,Serviços,Universitário,Metal,Cascas de legumes e verduras,Sobra de matéria-prima,10 a 50 kg por semana,30 a 50,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,Talvez
Pessoa física (residência),Serviços,Presidente Médici,Plástico,Restos de comida,Produto fora de especificação,10 a 50 kg por semana,6 a 10,Coleta pública comum,Sim,Não,Alto teor orgânico,Não,Sim
Pessoa física (residência),Comércio,São Cristóvão,Orgânicos,Casca de ovos,Consumo diário,Não sei estimar,10 a 30,Coleta seletiva,Não sei,Nunca pensei sobre isso,É úmido,Não,Talvez
Pessoa física (residência),Indústria em geral,Presidente Médici,Orgânicos,Cascas de frutas,Consumo diário,5 a 10 kg por semana,10 a 30,Compostagem,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Não,Não
Microempreendedor individual (MEI),Residencial,Santa Maria,Orgânicos,Restos de comida,Consumo diário,5 a 10 kg por semana,10 a 30,Coleta pública comum,Não sei,Nunca pensei sobre isso,É seco,Não,Sim
Pequena empresa,Residencial,Centro,Óleo residual,Casca de ovos,Sobra de matéria-prima,5 a 10 kg por semana,1 a 3,Coleta seletiva,Não,Nunca pensei sobre isso,"Contém vitaminas, minerais e compostos nutritivos",Não,Sim
Microempreendedor individual (MEI),Residencial,Passo dos Fortes,Vidro,Cascas de legumes e verduras,Sobra de matéria-prima,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não sei,Sim,É seco,Sim,Talvez
Pessoa física (residência),Residencial,Santa Maria,Óleo residual,Casca de ovos,Consumo diário,50 a 200 kg por semana,4 a 6,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,Talvez
Pessoa física (residência),Comércio,Palmital,Orgânicos,Cascas de legumes e verduras,Consumo diário,5 a 10 kg por semana,1 a 3,Coleta pública comum,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Não,Talvez
Pessoa física (residência),Indústria em geral,Universitário,Papelão,Borra de café,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta seletiva,Sim,Sim,Alto teor orgânico,Não,Talvez
Pessoa física (residência),Residencial,Santa Maria,Papelão,Restos de comida,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta pública comum,Sim,Nunca pensei sobre isso,Alto teor orgânico,Não,Sim
Microempreendedor individual (MEI),Residencial,Efapi,Papelão,Restos de comida,Produto fora de especificação,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não,Sim,Alto teor orgânico,Sim,Não
Pessoa física (residência),Residencial,Palmital,Orgânicos,Cascas de legumes e verduras,Consumo diário,10 a 50 kg por semana,4 a 6,Coleta pública comum,Sim,Nunca pensei sobre isso,"Contém vitaminas, minerais e compostos nutritivos",Sim,Sim
Pessoa física (residência),Indústria em geral,Presidente Médici,Orgânicos,Casca de ovos,Produto fora de especificação,1 a 5 kg por semana,4 a 6,Coleta seletiva,Não sei,Nunca pensei sobre isso,É úmido,Não,Sim
Pessoa física (residência),"Alimentação (restaurante, padaria, mercado, etc.)",Passo dos Fortes,Plástico,Restos de comida,Sobra de matéria-prima,50 a 200 kg por semana,6 a 10,Coleta pública comum,Não,Sim,É seco,Não,Talvez
Instituição pública,Serviços,São Cristóvão,Plástico,Cascas de legumes e verduras,Consumo diário,5 a 10 kg por semana,1 a 3,Coleta seletiva,Não,Sim,É úmido,Não,Não
Pessoa física (residência),Residencial,Palmital,Óleo residual,Restos de comida,Produto fora de especificação,Não sei estimar,6 a 10,Coleta seletiva,Sim,Não,É úmido,Não,Não
Pessoa física (residência),Residencial,Efapi,Papelão,Restos de comida,Consumo diário,10 a 50 kg por semana,1 a 3,Coleta pública comum,Não,Sim,É úmido,Sim,Talvez
Pessoa física (residência),Residencial,Universitário,Plástico,Restos de comida,Consumo diário,10 a 50 kg por semana,4 a 6,Doação,Não,Não,Alto teor orgânico,Não,Não
Pessoa física (residência),Indústria em geral,Centro,Vidro,Restos de comida,Consumo diário,5 a 10 kg por semana,6 a 10,Coleta seletiva,Não,Não,É úmido,Não,Sim
Pessoa física (residência),Residencial,Presidente Médici,Plástico,Restos de comida,Processo produtivo,10 a 50 kg por semana,6 a 10,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,Talvez
Microempreendedor individual (MEI),Residencial,Passo dos Fortes,Orgânicos,Cascas de frutas,Sobra de matéria-prima,1 a 5 kg por semana,1 a 3,Coleta pública comum,Não sei,Não,É seco,Sim,Não
Microempreendedor individual (MEI),Residencial,Universitário,Orgânicos,Cascas de frutas,Processo produtivo,10 a 50 kg por semana,1 a 3,Coleta pública comum,Não,Sim,Não sei informar,Sim,Talvez
Pequena empresa,Residencial,Vila Real,Orgânicos,Frutas estragadas,Consumo diário,Não sei estimar,1 a 3,Coleta seletiva,Sim,Nunca pensei sobre isso,Não sei informar,Não,Sim
Pessoa física (residência),Residencial,Palmital,Orgânicos,Restos de comida,Consumo diário,5 a 10 kg por semana,10 a 30,Doação,Sim,Nunca pensei sobre isso,É úmido,Não,Sim
Pessoa física (residência),Residencial,Vila Real,Orgânicos,Casca de ovos,Consumo diário,5 a 10 kg por semana,6 a 10,Coleta seletiva,Sim,Sim,Alto teor orgânico,Não,Talvez
Instituição pública,Serviços,Centro,Orgânicos,Restos de comida,Consumo diário,10 a 50 kg por semana,6 a 10,Doação,Sim,Nunca pensei sobre isso,Alto teor orgânico,Sim,Sim
Pessoa física (residência),Residencial,Jardim América,Orgânicos,Frutas estragadas,Consumo diário,1 a 5 kg por semana,Mais de 50 pessoas,Coleta seletiva,Não,Sim,Alto teor orgânico,Não,Sim
Pessoa física (residência),Residencial,Santa Maria,Orgânicos,Borra de café,Consumo diário,10 a 50 kg por semana,10 a 30,Coleta pública comum,Não,Nunca pensei sobre isso,Alto teor orgânico,Não,Sim
Pessoa física (residência),Residencial,Santa Maria,Orgânicos,Frutas estragadas,Processo produtivo,10 a 50 kg por semana,6 a 10,Coleta pública comum,Não,Nunca pensei sobre isso,Não sei informar,Sim,Não
Microempreendedor individual (MEI),Indústria de alimentos,Vila Real,Papelão,Cascas de legumes e verduras,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta seletiva,Sim,Nunca pensei sobre isso,É úmido,Não,Sim
Instituição pública,Serviços,Efapi,Orgânicos,Cascas de legumes e verduras,Consumo diário,10 a 50 kg por semana,4 a 6,Doação,Não,Não,Não sei informar,Não,Sim
Pessoa física (residência),Residencial,Jardim América,Plástico,Cascas de frutas,Processo produtivo,10 a 50 kg por semana,1 a 3,Coleta pública comum,Sim,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,Sim
Pessoa física (residência),Comércio,Universitário,Metal,Cascas de legumes e verduras,Processo produtivo,1 a 5 kg por semana,6 a 10,Coleta seletiva,Não,Sim,É úmido,Não,Talvez
Microempreendedor individual (MEI),Serviços,Universitário,Plástico,Casca de ovos,Consumo diário,10 a 50 kg por semana,4 a 6,Coleta pública comum,Não,Sim,É úmido,Não,Sim
Microempreendedor individual (MEI),"Alimentação (restaurante, padaria, mercado, etc.)",Vila Real,Vidro,Casca de ovos,Consumo diário,10 a 50 kg por semana,4 a 6,Coleta pública comum,Não,Não,"Contém vitaminas, minerais e compostos nutritivos",Sim,Sim
Microempreendedor individual (MEI),"Alimentação (restaurante, padaria, mercado, etc.)",Centro,Metal,Cascas de frutas,Consumo diário,1 a 5 kg por semana,Mais de 50 pessoas,Coleta pública comum,Não sei,Sim,É úmido,Não,Sim
Microempreendedor individual (MEI),Residencial,Santa Maria,Orgânicos,Casca de ovos,Processo produtivo,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não,Sim,É úmido,Não,Sim
Pessoa física (residência),Residencial,Centro,Orgânicos,Restos de comida,Processo produtivo,10 a 50 kg por semana,30 a 50,Doação,Sim,Nunca pensei sobre isso,"Contém vitaminas, minerais e compostos nutritivos",Não,Não
Instituição pública,Residencial,Centro,Plástico,Restos de comida,Consumo diário,5 a 10 kg por semana,1 a 3,Compostagem,Não sei,Nunca pensei sobre isso,Alto teor orgânico,Sim,Não
Microempreendedor individual (MEI),Residencial,Centro,Plástico,Restos de comida,Sobra de matéria-prima,10 a 50 kg por semana,10 a 30,Compostagem,Não,Não,É seco,Não,Sim
Pessoa física (residência),Residencial,São Cristóvão,Orgânicos,Cascas de legumes e verduras,Consumo diário,5 a 10 kg por semana,1 a 3,Compostagem,Sim,Sim,É úmido,Não,Talvez
Instituição pública,Residencial,Jardim América,Orgânicos,Cascas de legumes e verduras,Sobra de matéria-prima,10 a 50 kg por semana,10 a 30,Coleta pública comum,Não,Sim,É seco,Não,Talvez
Pessoa física (residência),Residencial,Universitário,Orgânicos,Cascas de frutas,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não,Sim,Alto teor orgânico,Sim,Sim
Pessoa física (residência),Residencial,Vila Real,Papelão,Cascas de legumes e verduras,Consumo diário,5 a 10 kg por semana,1 a 3,Coleta pública comum,Não sei,Não,É seco,Não,Talvez
Pessoa física (residência),Residencial,Universitário,Plástico,Casca de ovos,Consumo diário,10 a 50 kg por semana,1 a 3,Coleta seletiva,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Não,Talvez
Pessoa física (residência),Serviços,Santa Maria,Vidro,Restos de comida,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não,Nunca pensei sobre isso,Alto teor orgânico,Sim,Sim
Pessoa física (residência),Comércio,Santa Maria,Papelão,Borra de café,Consumo diário,5 a 10 kg por semana,6 a 10,Doação,Sim,Sim,É úmido,Sim,Sim
Pessoa física (residência),Comércio,Presidente Médici,Óleo residual,Cascas de legumes e verduras,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta pública comum,Sim,Sim,É seco,Não,Talvez
Pessoa física (residência),Residencial,Jardim América,Orgânicos,Restos de comida,Processo produtivo,1 a 5 kg por semana,10 a 30,Coleta pública comum,Não,Nunca pensei sobre isso,Não sei informar,Sim,Sim
Microempreendedor individual (MEI),Residencial,Universitário,Orgânicos,Casca de ovos,Processo produtivo,10 a 50 kg por semana,6 a 10,Coleta pública comum,Não sei,Nunca pensei sobre isso,É seco,Não,Sim
Pessoa física (residência),Residencial,Presidente Médici,Papelão,Cascas de legumes e verduras,Processo produtivo,Não sei estimar,1 a 3,Compostagem,Não sei,Não,É úmido,Não,Sim
Pessoa física (residência),Comércio,Efapi,Orgânicos,Frutas estragadas,Consumo diário,5 a 10 kg por semana,30 a 50,Coleta seletiva,Não sei,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,Sim
Pequena empresa,"Alimentação (restaurante, padaria, mercado, etc.)",Passo dos Fortes,Plástico,Cascas de legumes e verduras,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta seletiva,Não,Não,"Contém vitaminas, minerais e compostos nutritivos",Não,Sim
Pequena empresa,"Alimentação (restaurante, padaria, mercado, etc.)",Passo dos Fortes,Óleo residual,Frutas estragadas,Processo produtivo,5 a 10 kg por semana,4 a 6,Doação,Não,Não,É úmido,Não,Não
Pessoa física (residência),Comércio,Presidente Médici,Orgânicos,Cascas de legumes e verduras,Processo produtivo,Não sei estimar,4 a 6,Coleta seletiva,Não,Nunca pensei sobre isso,Alto teor orgânico,Não,Sim
Pequena empresa,Residencial,Universitário,Orgânicos,Cascas de frutas,Consumo diário,50 a 200 kg por semana,4 a 6,Coleta pública comum,Sim,Não,"Contém vitaminas, minerais e compostos nutritivos",Não,Sim
Microempreendedor individual (MEI),Residencial,Universitário,Óleo residual,Cascas de legumes e verduras,Processo produtivo,10 a 50 kg por semana,1 a 3,Coleta pública comum,Não,Sim,Não sei informar,Não,Não
Instituição pública,"Alimentação (restaurante, padaria, mercado, etc.)",São Cristóvão,Vidro,Cascas de legumes e verduras,Processo produtivo,Mais de 200 kg por semana,1 a 3,Coleta pública comum,Não,Nunca pensei sobre isso,Alto teor orgânico,Não,Talvez
Pessoa física (residência),Residencial,Passo dos Fortes,Papelão,Casca de ovos,Consumo diário,5 a 10 kg por semana,1 a 3,Compostagem,Sim,Não,Alto teor orgânico,Não,Sim
Pessoa física (residência),Residencial,São Cristóvão,Papelão,Casca de ovos,Processo produtivo,1 a 5 kg por semana,1 a 3,Coleta seletiva,Não,Sim,Alto teor orgânico,Não,Sim
Pessoa física (residência),Residencial,Centro,Papelão,Borra de café,Consumo diário,50 a 200 kg por semana,6 a 10,Coleta seletiva,Não,Sim,É seco,Não,Sim
Pequena empresa,Residencial,Palmital,Metal,Cascas de legumes e verduras,Consumo diário,1 a 5 kg por semana,1 a 3,Coleta pública comum,Sim,Sim,"Contém vitaminas, minerais e compostos nutritivos",Não,Sim
Pequena empresa,Residencial,Jardim América,Orgânicos,Frutas estragadas,Consumo diário,1 a 5 kg por semana,4 a 6,Compostagem,Sim,Não,"Contém vitaminas, minerais e compostos nutritivos",Sim,Não
Pessoa física (residência),Comércio,Jardim América,Orgânicos,Cascas de legumes e verduras,Consumo diário,5 a 10 kg por semana,4 a 6,Doação,Sim,Sim,É úmido,Não,Sim
Microempreendedor individual (MEI),"Alimentação (restaurante, padaria, mercado, etc.)",São Cristóvão,Orgânicos,Restos de comida,Produto fora de especificação,50 a 200 kg por semana,6 a 10,Coleta pública comum,Não,Sim,Não sei informar,Sim,Sim
Instituição pública,Residencial,Palmital,Plástico,Cascas de legumes e verduras,Processo produtivo,5 a 10 kg por semana,1 a 3,Reaproveitamento interno,Não sei,Nunca pensei sobre isso,Alto teor orgânico,Não,Talvez
Microempreendedor individual (MEI),Serviços,Passo dos Fortes,Papelão,Restos de comida,Processo produtivo,5 a 10 kg por semana,6 a 10,Coleta pública comum,Sim,Não,Alto teor orgânico,Não,Talvez
Pessoa física (residência),"Alimentação (restaurante, padaria, mercado, etc.)",Vila Real,Metal,Cascas de frutas,Processo produtivo,5 a 10 kg por semana,6 a 10,Coleta seletiva,Não,Nunca pensei sobre isso,Não sei informar,Não,Sim
Microempreendedor individual (MEI),"Alimentação (restaurante, padaria, mercado, etc.)",Jardim América,Vidro,Casca de ovos,Processo produtivo,5 a 10 kg por semana,30 a 50,Reaproveitamento interno,Sim,Não,Não sei informar,Não,Não
Instituição pública,Residencial,São Cristóvão,Orgânicos,Borra de café,Consumo diário,10 a 50 kg por semana,4 a 6,Coleta pública comum,Não,Nunca pensei sobre isso,É seco,Não,Não
Instituição pública,Residencial,Efapi,Orgânicos,Restos de comida,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não,Sim,É úmido,Não,Sim
Microempreendedor individual (MEI),Comércio,Efapi,Orgânicos,Frutas estragadas,Processo produtivo,1 a 5 kg por semana,1 a 3,Coleta seletiva,Não,Sim,Alto teor orgânico,Não,Sim
Pequena empresa,Residencial,Centro,Óleo residual,Restos de comida,Consumo diário,5 a 10 kg por semana,1 a 3,Coleta pública comum,Sim,Sim,É seco,Sim,Sim
Pessoa física (residência),Indústria em geral,Centro,Orgânicos,Restos de comida,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não,Sim,É úmido,Não,Sim
Instituição pública,Residencial,Efapi,Orgânicos,Borra de café,Produto fora de especificação,10 a 50 kg por semana,10 a 30,Coleta seletiva,Não,Sim,Alto teor orgânico,Não,Talvez
Pessoa física (residência),Residencial,Universitário,Metal,Restos de comida,Consumo diário,50 a 200 kg por semana,6 a 10,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,Não
Instituição pública,Comércio,São Cristóvão,Plástico,Restos de comida,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não sei,Nunca pensei sobre isso,Não sei informar,Sim,Talvez
Pessoa física (residência),Comércio,Efapi,Metal,Cascas de frutas,Consumo diário,5 a 10 kg por semana,1 a 3,Coleta pública comum,Sim,Sim,Alto teor orgânico,Não,Sim
Pessoa física (residência),Serviços,Efapi,Plástico,Restos de comida,Consumo diário,Não sei estimar,4 a 6,Coleta pública comum,Sim,Sim,Não sei informar,Não,Sim
Microempreendedor individual (MEI),Residencial,Vila Real,Metal,Casca de ovos,Consumo diário,1 a 5 kg por semana,1 a 3,Coleta seletiva,Não sei,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,Talvez
Microempreendedor individual (MEI),Residencial,Centro,Orgânicos,Cascas de frutas,Produto fora de especificação,50 a 200 kg por semana,4 a 6,Coleta seletiva,Não sei,Não,É seco,Não,Sim
Microempreendedor individual (MEI),Serviços,São Cristóvão,Orgânicos,Cascas de legumes e verduras,Sobra de matéria-prima,5 a 10 kg por semana,1 a 3,Compostagem,Não sei,Sim,Alto teor orgânico,Não,Talvez
Microempreendedor individual (MEI),Residencial,Palmital,Papelão,Cascas de legumes e verduras,Consumo diário,Mais de 200 kg por semana,10 a 30,Coleta pública comum,Não sei,Sim,Não sei informar,Não,Talvez
Pessoa física (residência),Serviços,Palmital,Plástico,Cascas de frutas,Consumo diário,1 a 5 kg por semana,1 a 3,Coleta pública comum,Não,Não,É úmido,Sim,Sim
Instituição pública,"Alimentação (restaurante, padaria, mercado, etc.)",Jardim América,Plástico,Cascas de frutas,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não,Sim,É seco,Não,Sim
Microempreendedor individual (MEI),Indústria em geral,Universitário,Papelão,Cascas de legumes e verduras,Consumo diário,1 a 5 kg por semana,10 a 30,Coleta pública comum,Sim,Nunca pensei sobre isso,É úmido,Não,Sim
Pessoa física (residência),Residencial,Santa Maria,Plástico,Borra de café,Processo produtivo,50 a 200 kg por semana,4 a 6,Coleta pública comum,Sim,Nunca pensei sobre isso,Alto teor orgânico,Não,Talvez
Microempreendedor individual (MEI),Serviços,Presidente Médici,Orgânicos,Restos de comida,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta pública comum,Não,Não,É seco,Sim,Sim
Instituição pública,Residencial,São Cristóvão,Orgânicos,Cascas de legumes e verduras,Consumo diário,5 a 10 kg por semana,6 a 10,Coleta seletiva,Sim,Não,"Contém vitaminas, minerais e compostos nutritivos",Sim,Sim
Pessoa física (residência),Residencial,Palmital,Orgânicos,Restos de comida,Consumo diário,1 a 5 kg por semana,10 a 30,Doação,Sim,Sim,É seco,Sim,Não
Pessoa física (residência),Residencial,Passo dos Fortes,Orgânicos,Restos de comida,Consumo diário,Não sei estimar,4 a 6,Coleta pública comum,Sim,Não,É seco,Não,Sim
Pessoa física (residência),Residencial,Jardim América,Plástico,Cascas de legumes e verduras,Sobra de matéria-prima,10 a 50 kg por semana,6 a 10,Coleta pública comum,Não,Nunca pensei sobre isso,Alto teor orgânico,Não,Sim
Instituição pública,Residencial,Santa Maria,Orgânicos,Cascas de legumes e verduras,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta pública comum,Sim,Sim,Alto teor orgânico,Não,Talvez
Microempreendedor individual (MEI),Residencial,Palmital,Plástico,Restos de comida,Produto fora de especificação,1 a 5 kg por semana,1 a 3,Coleta pública comum,Não sei,Sim,Alto teor orgânico,Sim,Talvez
Microempreendedor individual (MEI),Comércio,Centro,Papelão,Cascas de legumes e verduras,Consumo diário,1 a 5 kg por semana,1 a 3,Doação,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Não,Talvez
Microempreendedor individual (MEI),"Alimentação (restaurante, padaria, mercado, etc.)",Jardim América,Vidro,Restos de comida,Consumo diário,5 a 10 kg por semana,10 a 30,Coleta pública comum,Não,Nunca pensei sobre isso,É seco,Não,Talvez
Pessoa física (residência),Residencial,Centro,Papelão,Cascas de legumes e verduras,Consumo diário,5 a 10 kg por semana,10 a 30,Coleta pública comum,Não sei,Nunca pensei sobre isso,Não sei informar,Não,Não
Instituição pública,"Alimentação (restaurante, padaria, mercado, etc.)",Passo dos Fortes,Vidro,Restos de comida,Consumo diário,10 a 50 kg por semana,1 a 3,Coleta seletiva,Sim,Sim,Alto teor orgânico,Não,Sim
Pequena empresa,Residencial,São Cristóvão,Orgânicos,Cascas de frutas,Processo produtivo,5 a 10 kg por semana,1 a 3,Coleta pública comum,Não sei,Sim,Alto teor orgânico,Não,Talvez
Pequena empresa,Residencial,Vila Real,Metal,Cascas de legumes e verduras,Sobra de matéria-prima,1 a 5 kg por semana,1 a 3,Doação,Não sei,Não,Alto teor orgânico,Não,Talvez
Pessoa física (residência),Residencial,São Cristóvão,Plástico,Restos de comida,Consumo diário,1 a 5 kg por semana,6 a 10,Coleta pública comum,Não sei,Nunca pensei sobre isso,Não sei informar,Sim,Sim
Pessoa física (residência),Indústria de alimentos,Universitário,Orgânicos,Cascas de frutas,Processo produtivo,1 a 5 kg por semana,4 a 6,Doação,Sim,Sim,"Contém vitaminas, minerais e compostos nutritivos",Não,Talvez
Pessoa física (residência),Residencial,Efapi,Óleo residual,Restos de comida,Consumo diário,5 a 10 kg por semana,1 a 3,Coleta pública comum,Não,Nunca pensei sobre isso,É úmido,Não,Sim
Instituição pública,Indústria de alimentos,Centro,Plástico,Restos de comida,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta seletiva,Não sei,Não,É seco,Não,Sim
Pessoa física (residência),Residencial,Universitário,Orgânicos,Restos de comida,Sobra de matéria-prima,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não sei,Nunca pensei sobre isso,Alto teor orgânico,Não,Sim
Pessoa física (residência),Residencial,Universitário,Orgânicos,Restos de comida,Consumo diário,10 a 50 kg por semana,1 a 3,Coleta pública comum,Não,Nunca pensei sobre isso,É seco,Não,Sim
Pequena empresa,"Alimentação (restaurante, padaria, mercado, etc.)",Jardim América,Papelão,Restos de comida,Consumo diário,5 a 10 kg por semana,10 a 30,Coleta pública comum,Não sei,Sim,Alto teor orgânico,Não,Talvez
Pequena empresa,Residencial,Efapi,Orgânicos,Restos de comida,Consumo diário,1 a 5 kg por semana,4 a 6,Compostagem,Não,Nunca pensei sobre isso,"Contém vitaminas, minerais e compostos nutritivos",Não,Não
Microempreendedor individual (MEI),Indústria em geral,Vila Real,Orgânicos,Frutas estragadas,Produto fora de especificação,5 a 10 kg por semana,4 a 6,Coleta seletiva,Não,Sim,Alto teor orgânico,Sim,Sim
Pessoa física (residência),Residencial,Vila Real,Papelão,Restos de comida,Sobra de matéria-prima,10 a 50 kg por semana,10 a 30,Coleta pública comum,Sim,Nunca pensei sobre isso,É úmido,Não,Não
Microempreendedor individual (MEI),Residencial,Passo dos Fortes,Metal,Borra de café,Consumo diário,Não sei estimar,10 a 30,Coleta pública comum,Não,Sim,É úmido,Sim,Sim
